AAA.TO	Allana Potash Corp
CU.X.TO	Cdn Util Cl B
CUD.TO	Claymore Sp US Div Growers ETF
CUD.A.TO	Claymore Sp US Div Growers ETF Adv
CUF.DB.TO	Cominar Rl Est Inv Tr 6.30% Debs
CUF.DB.B.TO	Cominar Reit 5.70% Debs
CUF.DB.C.TO	Cominar Reit 5.80% Debs Series C
CUF.DB.D.TO	Cominar Reit 6.50 Debs Series D
CUF.DB.E.TO	Cominar Reit 5.75 Debs Ser E
CUF.UN.TO	Cominar R E Un
CUM.TO	Copper Mountain Mining Corp
CUP.U.TO	Caribbean Util US
CUQ.TO	Churchill Corp A
CUQ.DB.TO	The Churchill Corp 6.0 Debs
CUR.TO	Diagnocure Inc J
CUS.TO	Canexus Corporation
CUS.DB.TO	Canexus Corp 8 Pct Debs
CUS.DB.A.TO	Canexus Corp 5.75 Pct Ser III Debs
CUS.DB.B.TO	Canexus Corp 5.75 Pct Ser IV Debs
CUV.TO	Curis Resources Ltd
CVD.TO	Claymore Adv Convert Bond ETF
CVD.A.TO	Claymore Adv Convert Bond ETF Adv Class
CVE.TO	Cenovus Energy Inc.
CVG.TO	Clairvest Group
CVI.A.TO	Calvalley Petroleum Inc.
CVL.TO	Cervus Equipment Corporation
CVT.TO	Cvtech Group Inc.
CVV.TO	Canalaska Uranium Ltd
CVZ.TO	Calvista Gold Corporation
CVZ.WT.TO	Calvista Gold Corp Wts
CWA.TO	Coast Wholesale Appliances Inc.
CWB.TO	Cdn Western Bank
CWB.PR.A.TO	Canadian Western Bank 5Yr Pref Series 3
CWF.TO	Cdn World Fund
CWG.TO	Craig Wireless Systems Ltd.
CWL.TO	Caldwell Partners International Inc
CWO.TO	Claymore Broad Emerging Mkt ETF Com
CWO.A.TO	Claymore Broad Emerging Mkt ETF Adv
CWT.DB.A.TO	Calloway Reit 6.65% Unsec Sub Conv Debs
CWT.DB.B.TO	Calloway Reit 5.75 Conv Deb
CWT.UN.TO	Calloway Real Estate Investment Trust
CWW.TO	Claymore S&P Global Water ETF Common
CWW.A.TO	Claymore S&P Global Water ETF Advisor Cl
CWX.TO	Canwel Building Materials Group Ltd
CWX.DB.TO	Canwel Building Materials 5.85 Pct Debs
CX.TO	Cyberplex J
CXA.B.TO	Cons Hci Cl B
CXF.TO	Cdn Convert Liquid Universe ETF
CXF.A.TO	Cdn Convert Liquid Univ ETF Adv
CXI.S.TO	Currency Exchange International Corp
CXI.WT.S.TO	Currency Exchange International Corp Wts
CXN.TO	Chalice Gold Mines Ltd
CXS.TO	Counsel Corp
CXX.TO	Crosshair Exploration
CYB.TO	Cymbria Corporation Cl A
CYH.TO	Claymore Glbl Monthly Advantaged Div ETF
CYH.A.TO	Claymore Glbl Monthly Adv Div ETF Cls A
CYM.TO	Cymat Technologies Ltd.
CZA.TO	Cobriza Metals Corp
CZE.TO	C And C Energia Ltd
CZN.TO	Cdn Zinc Corp J
CZQ.TO	Continental Precious Minerals Inc.
D.DB.TO	Dundee Rl Est Inv Tr 6.5%
D.DB.A.TO	Dundee Reit 5.7% Deb
D.DB.B.TO	Dundee R.E.I.T 6.0% Debs
D.DB.F.TO	Dundee Reit 6.0 Pct Conv Debs Ser F
D.DB.G.TO	Dundee Reit 7.00 Pct Conv Debs Ser G
D.DB.H.TO	Dundee Reit 5.50 Pct Conv Debs Ser H
D.UN.TO	Dundee Real Estate Investment Trust
DA.A.TO	Discovery Air Inc.
DA.DB.A.TO	Discovery Air Inc 8.375 Pct Debs
DAA.TO	Pwshrs Db Agriculture Dbl Lng
DBO.TO	Dbox Technologies Inc
DC.A.TO	Dundee Corp. Cl.A Sv
DC.DB.TO	Dundee Corp
DC.PR.A.TO	Dundee Corp. 5.0% Prf Series 1
DC.PR.B.TO	Dundee Corp First Pref Ser 2
DCD.UN.TO	First Asset Diversified Conv. Deb. Fund
DCI.TO	Directcash Payments Inc.
DD.TO	Dds Wireless International Inc.
DEE.TO	Delphi Energy Corp.
DEJ.TO	Dejour Energy Inc
DEN.TO	Dundee Energy Limited
DF.TO	Dividend 15 Split Corp. Ii
DF.PR.A.TO	Dividend 15 Split Corp. Ii Prf
DF.RT.TO	Dividend 15 Split Corp Ii Rights
DFE.TO	Day4 Energy Inc.
DFI.TO	Diamond Field In J
DFN.TO	Dividend 15 Split Corp
DFN.PR.A.TO	Dividend 15 Split Corp
DFN.RT.TO	Dividend 15 Split Corp Rights
DG.UN.TO	Global Div.Invest. Grade Income Trust
DGC.TO	Detour Gold Corporation
DGI.TO	Data Group Inc
DGI.DB.A.TO	Data Group Income Fund 6.00 Conv Debs
DGJ.TO	Pwshrs Db Gold Dbls Shrt Etn
DGS.TO	Dividend Growth Split Corp. Class A
DGS.PR.A.TO	Dividend Growth Split Corp. Preferred
DGU.TO	Powershares Db Gold Double Long Etn
DH.TO	Davis Henderson Corporation
DHX.TO	Dhx Media Ltd.
DI.DB.TO	Dundee International Reit 5.5 Pct Debs
DI.UN.TO	Dundee International Reit Units
DII.A.TO	Dorel Industries Inc. Cl.A Mv
DII.B.TO	Dorel Industries Inc. Cl.B Sv
DL.TO	Danier Leather Inc. Sv
DLR.TO	Horizons US Dollar Currency ETF
DLR.U.TO	Horizons US Dollar Currency ETF USD
DM.TO	Duluth Metals Limited
DM.U.TO	Duluth Metals Limited US$
DML.TO	Denison Mines Corp.
DMM.TO	Dynasty Metals
DMN.PR.A.TO	Dominion Citrus Ltd
DNA.TO	Dalradian Resources Inc.
DNC.TO	Deans Knight Income Corporation
DND.TO	Cipher Pharmaceuticals Inc
DNG.TO	Dynacor Gold Mines Inc
DNK.TO	Dynetek Ind J
DNT.TO	Candente Copper Corp
DOE.TO	Powershrs Db Crude Oil Dblshrt
DOL.TO	Dollarama Inc
DOM.UN.TO	Dominion Citrus Income Fund
DPF.UN.TO	Dpf India Opportunities Fund Units
DPM.TO	Dundee Precious Metals Inc.
DPM.WT.A.TO	Dundee Precious Metals Inc. Wts A
DPS.UN.TO	Diversified Preferred Share Trust
DR.TO	Medical Facilities Corp
DR.DB.TO	Medical Facilities Corp. 7.50% Debs
DRN.TO	Delrand Resources Limited
DRX.TO	Adf Group Inc. Sv
DS.TO	Dividend Select 15 Corp
DSG.TO	Descartes Sys
DTX.TO	Deethree Exploration Ltd
DVF.UN.TO	First Asset CAD Div Opp Fund Ii
DVX.TO	Ipath Sp500 Dynamic VIX CAD Hdg Etn
DWI.TO	Dragonwave Inc.
DXM.TO	Xtf Morningstar Cda Div Tgt 30 ETF
E.TO	Enterprise Oilfield Group Inc.
ECA.TO	Encana Corp.
ECI.TO	Enercare Inc.
ECI.DB.TO	Enercare Inc. 6.25 Pct Debs
ECO.TO	Ecosynthetix Inc
ECP.TO	Ecopetrol S.A.
EDR.TO	Endeavour Silver Corp.
EDV.TO	Endeavour Mining Corp
EDV.WT.A.TO	Endeavour Mining Corp. Wts
EE.TO	Exall Energy Corporation
EE.DB.TO	Exall Energy Corp 7.75 Pct Debs
EFH.TO	Egi Financial Holdings Inc.
EFL.TO	Electrovaya Inc.
EFN.TO	Element Financial Corp
EFR.TO	Energy Fuels Inc.
EFX.TO	Enerflex Ltd
EGL.UN.TO	Eagle Energy Trust
EGZ.TO	Energizer Resources Inc
EH.TO	Easyhome Ltd.
EIF.TO	Exchange Income Corporation
EIF.DB.A.TO	Exchange Incm 7.5 Db
EIF.DB.B.TO	Exchange Incm 6.5 Db
EIF.DB.C.TO	Exchange Income Corp 5.75 Pct Debs Srs I
EIF.DB.D.TO	Exchange Income Corp 6.25 Pct Debs
EIT.UN.TO	Enervest Diversified Income Trust
EKO.TO	Noveko International Inc.
ELC.TO	Cic Energy Corp.
ELD.TO	Eldorado Gold
ELF.TO	E-L Financial
ELF.PR.F.TO	E-L Financial Corp. Ltd. Pr Ser. 1
ELF.PR.G.TO	E- L Financial Corp. Limited
ELF.PR.H.TO	E - L Financial Corp Ltd Pref Ser 3
ELG.TO	Elgin Mining Inc
ELG.WT.TO	Elgin Mining Inc WTS
ELM.TO	Elemental Minerals Limited
ELR.TO	Eastern Platinum Limited
EMA.TO	Emera Incorporated
EMA.PR.A.TO	Emera Inc Series A Pref
EMC.TO	Emc Metals Corp.
EMD.TO	Emed Mining Public Ltd
EMP.A.TO	Empire Company Ltd. Cl.A Nv
EMY.UN.TO	Man Glg Emerging Mkt In Fd
ENB.TO	Enbridge Inc
ENB.PR.A.TO	Enbridge Pr
ENB.PR.B.TO	Enbridge Inc Cum Redeem Pref Ser B
ENB.PR.D.TO	Enbridge Inc Pref Ser D
ENB.PR.F.TO	Enbridge Inc Pref Ser F
ENB.PR.H.TO	Enbridge Inc Preferred Ser H
ENB.PR.U.TO	Enbridge Inc Pref Sh Series J
ENF.TO	Enbridge Income Fund Holdings Inc.
ENI.UN.TO	Energy Income Fund
EOM.TO	Eco Oro Minerals Corp
EOS.UN.TO	Enervest Energy And Oil Sands T
EPS.TO	Epsilon Energy Ltd.
EPS.DB.TO	Epsilon Energy Ltd 7.75 Pct Conv Debs
EQI.TO	Equity Financial Holdings Inc.
EQU.TO	Equal Energy Ltd
EQU.DB.B.TO	Equal Energy 6.75 Pct Debs
ER.TO	Eastmain Res J
ERD.TO	Erdene Resource Development Company
ERF.TO	Enerplus Corporation
ESI.TO	Ensign Energy Services Inc.
ESL.TO	Enghouse Systems Ltd.
ESN.TO	Essential Energy Services Ltd
ESP.TO	Espial Group Inc.
ET.TO	Evertz Technologies Limited
ETC.TO	Equitable Group Inc.
ETC.PR.A.TO	Equitable Group Inc. Pr Ser 1
ETG.TO	Entree Gold Inc.
ETX.TO	Etrion Corporation
EVG.TO	Evolving Gold Corp
EVT.TO	Economic Investment
EWP.UN.TO	First Asset Pipes & Power Income Fund
EXE.DB.TO	Extendicare Reit 5.70% Debs
EXE.DB.A.TO	Extendicare Reit 7.25% Debs
EXE.UN.TO	Extendicare Real Estate Investment Trst
EXF.TO	Exfo Inc
EXN.TO	Excellon Resources Inc.
EXT.TO	Extract Resources Ltd
FAP.TO	Aberdeen Asia-Pacific Income Invest Ltd
FAR.TO	Foraco International Sa
FAY.U.TO	First Asset Yld Opportunity Trst Ser B
FAY.UN.TO	First Asset Yield Opportunity Trust
FBK.TO	Fibrek Inc.
FBS.B.TO	5Banc Split Inc. Capital Shares
FBS.PR.C.TO	5Banc Split Class C Pref Series 1
FC.TO	Firm Capital Mortgage Inv. Corp.
FC.DB.TO	Firm Capital Mortgage 6.0 Pct Debs
FC.DB.A.TO	Firm Capital Mortgage 5.75 Pct Debs
FC.DB.B.TO	Firm Capital Mtg Inv Corp 5.40 Pct Debs
FC.DB.C.TO	Firm Capital Mortgage Inv 5.25 Pct Debs
FCO.TO	Formation Metals Inc.
FCO.WT.TO	Formation Metals Inc Wts
FCR.TO	First Capital Realty Inc.
FCR.DB.C.TO	First Capital Realty Inc 6.25 Debs
FCR.DB.D.TO	First Capital Realty 5.7 Pct Conv Debs
FCR.DB.E.TO	First Capital Realty Inc 5.4 Pct Dbs
FCR.DB.F.TO	First Capital Realty 5.25 Pct Debs
FCR.DB.G.TO	First Capital Realty 5.25 Pct Debs
FCR.DB.H.TO	First Capital Realty Inc 4.95 Pct Debs
FCS.PR.B.TO	Faircourt Split Trust 6.25 Pct Prf B
FCS.UN.TO	Faircourt Split Trust
FEL.TO	Fairborne Energy Ltd.
FER.TO	Century Iron Mines Corp
FES.TO	Flint Energy Services Limited
FFH.TO	Fairfax Financial Holdings Ltd.
FFH.PR.C.TO	Fairfax Fncl Holdings Ltd Pref Series C
FFH.PR.E.TO	Fairfax Financial Hldngs Pref Series E
FFH.PR.G.TO	Fairfax Financial Hldngs Pref Ser G
FFH.PR.I.TO	Fairfax Financial Holdings Series I Pref
FFH.PR.K.TO	Fairfax Financial Holdings Pref Series K
FFH.U.TO	Fairfax Financial Holdings Limited USD
FFI.UN.TO	Flaherty & Crumrine Fixed Income Fund
FFL.TO	Ipath US Treasury Flattener Etn
FFL.U.TO	Ipath US Treasury Flattener Etn
FFN.TO	Financial 15 Split Corp Ii
FFN.PR.A.TO	Financial 15 Split Corp. Iipr.
FGX.TO	Faircourt Gold Income Corp.
FGX.WT.B.TO	Faircourt Gold Wt B
FIC.TO	Can Financials Income Corp
FIE.TO	Claymore Cdn Fin Mthly Inc ETF
FIE.A.TO	Claymore Cdn Financial Mthly Income ETF
FIU.TO	First Uranium Corporation
FIU.DB.TO	First Uranium Corporation 4.25% Deb
FIU.NT.TO	First Uranium Corp 7 Pct Notes
FM.TO	First Quantum Minerals Ltd
FMC.TO	Forbes And Manhattan Coal Corp
FN.TO	First National Financial Corp.
FN.PR.A.TO	First National Financial Corp Pref A
FNI.TO	First Nickel Inc.
FNV.TO	Franco-Nevada Corporation
FNV.WT.A.TO	Franco-Nevada Corporation Warrants
FNV.WT.B.TO	Franco Nevada Glw Holdings Wts Srs B
FOS.TO	Phoscan Chemical Corp.
FP.TO	Fp Newspapers Inc.
FPR.PR.A.TO	Financial Preferred Securities Corp.
FR.TO	First Majestic Silver Corp. Common
FRB.TO	Forbes Energy Services Ltd
FRC.TO	Canyon Services Group Inc.
FRO.TO	Frontier Rare Earths Limited
FRO.WT.TO	Frontier Rare Earths Limited Wts
FRU.TO	Freehold Royalties Ltd.
FSD.UN.TO	First Trust Adv Sh Dur Hi Yld Bnd Fd
FSS.TO	Front Street Strategic Yield Fund Ltd.
FSV.TO	Firstservice Corporation Sv
FSV.DB.U.TO	Firstservice Corporation 6.5% Debs
FSV.PR.U.TO	Firstservice Corporation 7% Pref Ser 1
FSY.TO	Forsys Metals Corp.
FSZ.TO	Fiera Capital Corp
FT.TO	Fortune Mnrl J
FTG.TO	Firan Technology G Com Npv
FTN.TO	Financial 15 Split Corp
FTN.PR.A.TO	Financial 15 Split Corp
FTP.TO	Fortress Paper Ltd.
FTP.DB.TO	Fortress Paper Ltd 6.5 Pct Debs
FTS.TO	Fortis Inc
FTS.PR.C.TO	Fortis Inc. Ser C
FTS.PR.E.TO	Fortis Inc. Ser E
FTS.PR.F.TO	Fortis Inc. Preferred Shares Series F
FTS.PR.G.TO	Fortis Inc. First Pref Series G
FTS.PR.H.TO	Fortis Inc. Pref Series H
FTT.TO	Finning Intl
FTU.TO	US Financial 15 Split Corp.
FTU.PR.A.TO	US Financial 15 Split Corp. Pr. A
FVI.TO	Fortuna Silver Mines Inc
FVL.TO	Freegold Ventures Limited
FXF.TO	Can Financials Income ETF
FXF.A.TO	Can Financials Income ETF Advis
FXM.TO	Xtf Morningstar CAD Value Idx ETF
G.TO	Goldcorp Inc
GAA.TO	Gazit America Inc.
GAA.WT.TO	Gazit America Inc Warrants
GAS.TO	Claymore Natural Gas Commodity ETF
GAT.UN.TO	UBS Global Allocation Tr
GBA.TO	Globalbanc Advanta Com Npv Clas
GBA.PR.A.TO	Globalbanc Advantaged 8 Split Corp. Prf
GBG.TO	Great Basin Gold Ltd.
GBG.DB.TO	Great Basin Gold Ltd 8.0 Pct Debs
GBG.WT.TO	Great Basin Gold Ltd Wts
GBP.UN.TO	Global Banks Premium Income Trust
GBT.A.TO	Bmtc Group Inc. Cl.A Sv
GBU.TO	Gabriel Res J
GBV.TO	Groupe Bikini Village Inc
GC.TO	Great Canadian Gaming Corporation
GCG.TO	Guardian Capital
GCG.A.TO	Guardian Capital Group Ltd. Cl.A Nv
GCI.UN.TO	Canoe Go Canada Inc Fund
GCL.TO	Colabor Group Inc.
GCL.DB.A.TO	Colabor Group Inc 5.70 Conv Debs
GCM.TO	Gran Colombia Gold Corp.
GCM.NT.U.TO	Gran Colombia Gold 5.0 Pct Sil Notes
GCM.WT.TO	Gran Colombia Gold Corp. Wts
GCT.TO	Gvic Communications Corp. Class B
GCT.C.TO	Gvic Communication Com Npv 'Non
GDC.TO	Genesis Land J
GDI.TO	General Donlee Canada Inc.
GDI.DB.TO	General Donlee Canada Inc. 7.0 Pct Debs
GDL.TO	Goodfellow Inc
GDP.UN.TO	Global Dividend Fund
GDS.TO	Gendis Inc
GEI.TO	Gibson Energy Inc
GEN.TO	Genenews Limited
GEN.RT.TO	Genenews Limited Rights
GEO.TO	Geodrill Limited
GFO.UN.TO	Connor Clark And Lunn Financial Opp Fund
GFO.WT.TO	Connor Clark Lunn Financial Opp Fund Wts
GFS.TO	Gasfrac Energy Services Inc
GFS.DB.TO	Gasfrac Energy Services Inc 7.0 Pct Debs
GGA.TO	Goldgroup Mining Inc
GGN.TO	Gryphon Gold Corp.
GH.TO	Gamehost Inc.
GH.DB.TO	Gamehost Inc. 6.25 Pct Debs
GIB.A.TO	Cgi Group Inc. Cl.A Sv
GII.UN.TO	Global Div Inv Gr. Income Tr. Ii
GIL.TO	Gildan Activewear Inc.
GIX.TO	Geologix Explorations Inc.
GLA.U.TO	Global Alumina Corp.
GLG.TO	Glg Life Tech Corporation
GLN.TO	Glentel Inc
GLV.A.TO	Groupe Laperriere
GLV.B.TO	Groupe Laperriere & Verreault Inc. Cl B
GMC.TO	Geovic Mining Corp
GMM.U.TO	General Motors Company
GMO.TO	General Moly Inc.
GMP.TO	Gmp Capital Inc.
GMP.PR.B.TO	Gmp Capital Inc Series B Preferred
GMX.TO	Globex Mng J
GNV.TO	Genivar Inc
GO.TO	Galleon Energy Inc.
GOZ.TO	Gold Ore Resources Ltd
GPC.TO	Aston Hill Sr Gold Producers Inc Corp
GPD.TO	Golden Predator Corp
GPF.UN.TO	Gold Participation And Income Fund
GPR.TO	Great Panther Silver Limited
GQM.TO	Golden Queen Mng J
GS.TO	Gluskin Sheff Associates Inc.
GSB.UN.TO	Government Strip Bond Trust
GSC.TO	Golden Star
GSY.TO	Argosy Energy Inc
GTE.TO	Gran Tierra Energy Inc.
GTH.TO	U.S. Geothermal Inc.
GTU.U.TO	Central Goldtrust
GTU.UN.TO	Central Goldtrust
GTX.TO	Gran Tierra Exchangeco Inc.
GUR.TO	Aston Hill Global Uranium Fund Inc
GUY.TO	Guyana Goldfields Inc
GVC.TO	Glacier Media Inc
GVX.TO	Grandview Gold Inc.
GW.TO	Garda World Security Corp
GWO.TO	Great-West Lifeco Inc
GWO.PR.F.TO	Great-West Lifeco Inc.
GWO.PR.G.TO	Great-West Lifeco Inc. Pr. G
GWO.PR.H.TO	Great-West Lifeco Inc. 4.85 % Pr.Ser H
GWO.PR.I.TO	Great-West Lifeco Inc. Prf Series I
GWO.PR.J.TO	Great-West Lifeco Inc. Srs J
GWO.PR.L.TO	Great-West Lifeco Inc Pref Series L
GWO.PR.M.TO	Great West Lifeco Pref Series M
GWO.PR.N.TO	Great West Lifeco Inc Pref Srs N
GWO.PR.P.TO	Great West Lifeco Inc 5.4 Pct Pref Sh
GWR.TO	Gwr Global Water Resources Corp.
GXI.TO	Guestlogix Inc.
HAA.TO	Horizons Balanced ETF
HAB.TO	Horizons Corporate Bond ETF
HAB.A.TO	Horizons Corp Bond ETF Adv
HAC.TO	Horizons Seasonal Rotation ETF
HAC.A.TO	Horizons Seasonal Rotation ETF Adv
HAF.TO	Horizons Tactical Bond ETF
HAG.TO	Horizons Gartman ETF
HAH.TO	Horizons Sp Tsx 60 130 30 ETF
HAH.A.TO	Horizons Sp Tsx 60 130 30 Idx ETF Adv Cl
HAL.TO	Horizons Dividend ETF
HAP.TO	Horizons Income Plus ETF
HAV.TO	Horizons North American Value ETF
HAV.A.TO	Horizons Na Value ETF Adv
HAW.TO	Horizons North American Growth ETF
HAW.A.TO	Horizons Na Growth ETF Adv
HAY.UN.TO	Stone Agribusiness Fund
HAZ.TO	Horizons Global Dividend ETF
HAZ.A.TO	Horizons Global Dividend ETF Adv
HBD.TO	Horizons Betapro Comex Gold Bear Plus
HBL.UN.TO	Brand Leaders Income Fund
HBM.TO	Hudbay Minerals Inc.
HBP.TO	Helix Biopharm
HBU.TO	Horizons Betapro Comex Gold Bull Plus
HBZ.TO	Hor Bp Comex Lg Gld Sh Silv Spread ETF
HCF.UN.TO	Harvest Cdn Income And Growth Fund
HCG.TO	Home Capital Group Inc.
HCI.TO	Hartco Inc.
HCS.UN.TO	Canadian Premium Select Income Fund
HCS.WT.TO	Canadian Premium Select Income Fund Wts
HDD.TO	Horizons Betapro US Dollar Bear Plus ETF
HDU.TO	Horizons Betapro US Dollar Bull Plus ETF
HDX.TO	Hosted Data Transa Com Npv
HE.TO	Hanwei Energy Services Corp.
HEA.U.TO	Horizons Enhd Income US Equity USD ETF
HEA.V.TO	Horizons Enhd Inc US Equity USD ETF Adv
HED.TO	Horizons Betapro S&P/Tsx Cap Energy Bear
HEE.TO	Horizons Enhanced Income Energy ETF
HEE.A.TO	Horizons Enhd Income Energy ETF Adv
HEF.TO	Horizons Enhanced Income Fin ETF
HEF.A.TO	Horizons Enhd Income Financial ETF Adv
HEJ.TO	Horizons Enhd Inc Intl Equity ETF
HEJ.A.TO	Horizons Enhd Inc Intl Equity ETF Adv
HEM.TO	Hemisphere Gps Inc.
HEP.TO	Horizons Enhanced Income Gold Prod ETF
HEP.A.TO	Horizons Enhd Income Gold Prod ETF Adv
HEQ.TO	Homeq Corporation
HES.UN.TO	Horizons Enhanced US Equity In Fd Units
HEU.TO	Horizons Betapro S&P/Tsx Cap Energy Bull
HEW.TO	Horizons Sp/Tsx 60 Equal Wgt Idx ETF
HEX.TO	Horizons Enhanced Income Equity ETF
HEX.A.TO	Horizons Enhd Income Equity ETF Adv
HF.TO	Hanfeng Evergreen Inc.
HFD.TO	Horizons Betapro S&P/Tsx Cap Fins Br ETF
HFR.TO	Horizons Floating Rate Bond ETF
HFR.A.TO	Horizons Floating Rate Bond ETF Adv
HFU.TO	Horizons Betapro S&P/Tsx Cap Fins Bl ETF
HGD.TO	Horizons Bp Gold Bear Plus ETF
HGI.UN.TO	Global Adv Telecom Utilities In Fd Units
HGU.TO	Horizons Betapro S&P/Tsx Global Gld Bull
HGY.TO	Horizons Gold Yield ETF
HHF.TO	Horizons Morningstar Hdg Fd Idx ETF
HIB.TO	Horizons Bp Comex Gold Inv ETF
HIE.TO	Horizons Btp Cpd Energy Inverse ETF
HIF.TO	Horizons Betapro S&P/Tsx Fin Inverse ETF
HIG.TO	Horizons Btp Global Gold Inverse ETF
HIN.TO	Horizons Bp Nymex Nat Gas Inverse ETF
HIO.TO	Horizons Betapro Nymex Crude Inverse ETF
HIT.UN.TO	Fiera High Income Trust
HIU.TO	Horizons Betapro Sp 500 Inverse ETF
HIX.TO	Horizons Betapro S&P/Tsx 60 Inverse ETF
HJD.TO	Horizon Betapro Msci Em Mkt Bear Plus
HJE.TO	Horizons Gmp Junior Oil And Gas Idx ETF
HJU.TO	Horizon Betapro Msci Em Mkt Bull Plus
HKD.TO	Horizons Bp Comex Copper Bear Plus ETF
HKU.TO	Horizons Bp Comex Copper Bull Plus ETF
HLF.TO	High Liner
HLF.A.TO	High Liner Foods Inc Non Voting
HLR.UN.TO	Holloway Lodging Real Estate Inv
HMD.TO	Horizons Bp Global Base Met Bear Plus
HMF.TO	Horizons Auspice Managed Futures ETF
HMF.A.TO	Horizons Auspice Managed Futures ETF Adv
HMM.A.TO	Hammond Manufacturing Co Ltd
HMU.TO	Horizons Bp Global Base Met Bull Plus
HNC.TO	Hard Creek Nickel Corp.
HND.TO	Horizons Betapro Nymex Nat Gas Bear ETF
HNL.TO	Horizon North Logistics Inc.
HNO.TO	Hbp Long Nat Gas Short Crude Sp
HNT.TO	Huntingdon Captial Corp
HNT.DB.TO	Huntingdon Capital Corp 7.50 Pct Debs
HNT.WT.TO	Huntingdon Captial Corp Wts
HNU.TO	Horizons Beta Pro Nymex Nat Gas Bull ETF
HNY.TO	Horizons Natural Gas Yield ETF
HNY.A.TO	Horizons Natural Gas Yield ETF Adv Class
HOC.TO	Heritage Oil Corp.
HOD.TO	Horizon Beta Pro Nymex Crde Oil Bear ETF
HON.TO	Hbp Long Crude Short Nat Gas Sp
HOU.TO	Horizon Betapro Nymex Crde Oil Bull ETF
HOY.TO	Horizons Crude Oil Yield ETF
HOY.A.TO	Horizons Crude Oil Yield ETF Adv Class
HPR.TO	Horizons Preferred Share ETF
HPR.A.TO	Horizons Pref Share ETF Adv
HPS.A.TO	Hammond Power Solutions Inc. Cl A. Sv
HQD.TO	Horizons Betapro Nasdaq100 Bear Plus ETF
HQU.TO	Horizons Betapro Nasdaq100 Bull Plus ETF
HR.DB.TO	H & R Reit 6.65% Debs.
HR.DB.B.TO	H And R Reit 6.75 Series B Debentures
HR.DB.C.TO	Hr Reit 6.00 Pct Ser. C Conv Debs
HR.DB.D.TO	Hr Reit 5.90 Pct Conv Debs
HR.DB.E.TO	Hr Reit 4.50 Pct Ser E Debs
HR.UN.TO	H&R Real Estate Inv Trust
HRG.TO	High River Gold J
HRT.TO	Harte Gold Corp
HRX.TO	Heroux-Devtek
HSB.PR.C.TO	Hsbc Bank Canada Pr. C
HSB.PR.D.TO	Hsbc Bank Canada Cl.1 Pref. Ser. D
HSB.PR.E.TO	Hsbc Bank Canada Cl. 1 Pref Sh Series E
HSC.UN.TO	Hbanc Capital Securities Trust
HSD.TO	Horizons Betapro S&P 500R Bear Plus ETF
HSE.TO	Husky Energy Inc.
HSE.PR.A.TO	Huskey Energy Inc Pref Srs A
HSI.UN.TO	Harvest Sustainable Income Fund
HSL.TO	Hse Integrated Ltd.
HSU.TO	Horizons Betapro S&P 500R Bull Plus ETF
HTD.TO	Horizons Betapro U.To 30 Yr Bear Plus ETF
HTE.DB.D.TO	Harvest Operations Corp 6.40 Conv Deb D
HTE.DB.E.TO	Harvest Operations Corp 7.25 Conv Deb E
HTE.DB.F.TO	Harvest Operations Corp 7.25 Conv Deb F
HTE.DB.G.TO	Harvest Operations Corp 7.50 Conv Deb G
HTU.TO	Horizons Betapro U.To 30 Yr Bull Plus ETF
HUC.TO	Horizons Wt Nymex Crude Oil ETF
HUF.U.TO	Horizons US Floating Rate Bd ETF
HUF.V.TO	Horizons US Floating Rate Bd ETF Adv
HUG.TO	Horizons Comex Gold ETF
HUK.TO	Horizons Comex Copper ETF
HUN.TO	Horizons Wt Nymex Nat Gas ETF
HUV.TO	Horizons Bp Sp500 VIX St Futures ETF
HUZ.TO	Horizons Comex Silver ETF
HVI.TO	Horizons Bp Sp500 VIX St Fut Inv ETF
HVU.TO	Horizons Bp Sp500 VIX St Fut Bull Plus
HW.TO	Harry Winston Diamond Corporation
HWD.TO	Hardwoods Distribution Inc
HWO.TO	High Arctic Energy Services Inc.
HXD.TO	Horizons Betapro S&P/Tsx60 Bear Plus ETF
HXS.TO	Horizons Sp500 Index Cdn Hedged ETF
HXT.TO	Horizons Sp Tsx60 Index ETF
HXT.U.TO	Horizons Sp Tsx 60 Index ETF USD
HXU.TO	Horizons Betapro S&P/Tsx60 Bull Plus ETF
HYB.UN.TO	Ddj High Yield Fund
HYD.TO	Hyduke Energy Services Inc.
HYG.TO	Hydrogenics Corporation
HYI.TO	Horizons High Yield Bd ETF
HYI.A.TO	Horizons High Yield Bd ETF Adv
HYM.UN.TO	High Yield & Mortgage Plus Trust
HZD.TO	Horizons Bp Comex Silver Bear Plus ETF
HZM.TO	Horizonte Minerals Plc
HZU.TO	Horizons Bp Comex Silver Bull Plus ETF
HZY.TO	Horizons Silver Yield ETF
I.TO	Intellipharmaceutics International Inc.
IAE.TO	Ithaca Energy Inc.
IAG.TO	Industrial Alliance Ins & Fin Srv Inc
IAG.PR.A.TO	Industrial Alliance Ins & Fin Srv Ser B
IAG.PR.C.TO	Industrial Alliance Ins & Fin Srv Ser C
IAG.PR.E.TO	Industrial Alliance Pref Ser E
IAG.PR.F.TO	Industrial Alliance 5.9 Pref Ser F
IAM.TO	Integrated Asset Management Corp.
IAU.TO	Intrepid Mines Ltd.
IBG.TO	Ibi Group Inc.
IBG.DB.TO	Ibi Group Inc. 7.0 Pct Debs
