AAA.TO	Allana Potash Corp
AZP.PR.A.TO	Atlantic Power Pref Equity Ser 1
AZP.PR.B.TO	Atlantic Power Pref Equity Ser 2
AZR.TO	Azumah Resources Limited
BA.TO	Bell Aliant Inc
BAA.TO	Banro Corp.
BAB.UN.TO	Build America Investment Grade Bond Fund
BAD.TO	Badger Daylighting Ltd.
BAF.PR.A.TO	Bell Aliant Preferred Equity Inc
BAF.PR.C.TO	Bell Aliant Preferred Equity Inc.
BAJ.TO	Baja Mining Corp.
BAM.A.TO	Brookfield Asset Management Inc. Cl.A Lv
BAM.PF.A.TO	Brookfield Asset Mgmt Inc Pref Ser 32
BAM.PR.B.TO	Brookfield Asset Mgmt Inc.Pr. Ser 2
BAM.PR.C.TO	Brookfield Asset Mgmt Inc. Pr. Ser 4
BAM.PR.E.TO	Brookfield Asset Mgmt Inc. Pr. Ser 8
BAM.PR.G.TO	Brookfield Asset Mgmt Inc. Pr Ser 9
BAM.PR.I.TO	Brookfield Asset Mgmt Inc. Pr Ser 11
BAM.PR.J.TO	Brookfield Asset Mgmt Inc. Pr. Ser 12
BAM.PR.K.TO	Brookfield Asset Mgmt Inc. Pr. Ser 13
BAM.PR.M.TO	Brookfield Asset Mgmt Incprf A Ser 17
BAM.PR.N.TO	Brookfield Asset Mgmt Pref Shs Ser 18
BAM.PR.O.TO	Brookfield Asset Mgmt Inc. Pr. Ser 21
BAM.PR.P.TO	Brookfield Asset Mgmt Inc. Pr. Ser 22
BAM.PR.R.TO	Brookfield Asset Mgmt Pref Ser 24
BAM.PR.T.TO	Brookfield Asset Mgmt Pref Ser 26
BAM.PR.X.TO	Brookfield Am Pref Ser 28
BAM.PR.Z.TO	Brookfield Asset Mgmt Inc Pr Ser 30
BAN.TO	Bannerman Resources Limited
BAU.TO	Bauer Performance Sports Ltd
BBD.A.TO	Bombardier Inc. Cl. A Mv
BBD.B.TO	Bombardier Inc. Cl. B Sv
BBD.PR.B.TO	Bombardier 2 Pr
BBD.PR.C.TO	Bombardier Inc. Preferred Class C
BBD.PR.D.TO	Bombardier Inc. Preferred[Series 3 ]
BBL.A.TO	Brampton Brick Ltd. Cl.A Sv
BBO.TO	Big Bank Big Oil Split Corp.
BBO.PR.A.TO	Big Bank Big Oil Split Corp. Prf. Cl. A
BCB.TO	Cott Corp
BCE.TO	Bce Inc.
BCE.PR.A.TO	Bce First Pr Shares Series Aa
BCE.PR.B.TO	Bce Inc. First Pr Shares Series Ab
BCE.PR.C.TO	Bce Inc Pr Shares Series Ac
BCE.PR.D.TO	Bce Inc. Preferred Shares Series Ad
BCE.PR.E.TO	Bce 1St Pref Shares Series Ae
BCE.PR.F.TO	Bce 1St Pref Shares Series Af
BCE.PR.G.TO	Bce 1St Pref Shares Series Ag
BCE.PR.H.TO	Bce 1St Pref Shares Series Ah
BCE.PR.I.TO	Bce 1St Pref Shares Series Ai
BCE.PR.J.TO	Bce Inc Preferred Sh Series Aj
BCE.PR.K.TO	Bce Inc Pref Series Ak
BCE.PR.R.TO	Bce Inc Ser R
BCE.PR.S.TO	Bce Inc Ser S
BCE.PR.T.TO	Bce Inc. First Preferred Series T
BCE.PR.Y.TO	Bce Inc Ser Y Pr
BCE.PR.Z.TO	Bce Inc Series Z
BCI.TO	Benvest New Look Income Fd
BDI.TO	Black Diamond Group Ltd
BDT.TO	Bird Construction Inc.
BEI.UN.TO	Boardwalk Real Estate Investment Trust
BEK.B.TO	Becker Milk Co Ltd Cl B Nv Spec
BEP.UN.TO	Brookfield Renewable Energy Partners Lp
BEV.TO	Bennett Env J
BI.UN.TO	Bloom Inc And Growth CAD Fund
BIG.A.TO	Big 8 Split Inc.
BIG.PR.B.TO	Big 8 Split Inc Cls B Srs 1
BIG.PR.C.TO	Big 8 Split Inc. Cl C Ser 1 Pref
BIN.TO	Progressive Waste Solutions Ltd
BIP.UN.TO	Brookfield Infra Partners Lp Units
BIR.TO	Birchcliff Energy Ltd.
BK.TO	Canadian Banc Recovery Corp. Cl. A
BK.PR.A.TO	Canadian Banc Recovery Corp. Pref. A
BKI.TO	Black Iron Inc
BKP.TO	C.A. Bancorp Inc.
BKX.TO	Bnk Petroleum Inc.
BLB.UN.TO	Bloom Select Income Fund
BLD.TO	Ballard Power
BLS.TO	Boliden Ab
BLU.TO	Bellus Health Inc.
BLX.TO	Boralex Inc.
BLX.DB.TO	Boralex Inc 6.75 Pct Debs
BMO.TO	Bank Of Montreal
BMO.PR.H.TO	Bk Of Mtl Cl B 5P
BMO.PR.J.TO	Bmo Non-Cum Cl B Prf Share Series 13
BMO.PR.K.TO	Bmo Non-Cumulative Cl B Pr Share Sr 14
BMO.PR.L.TO	Bmo Non-Cumulative Cl B Pr Share Srs 15
BMO.PR.M.TO	Bmo Cl B Pref Shares Ser 16
BMO.PR.N.TO	Bmo Cl. B Pref Shares Ser 18
BMO.PR.O.TO	Bmo Cl B Pref Shares Series 21
BMO.PR.P.TO	Bmo Non-Cumulative Cl. B Pref. Sr 23
BMO.PR.Q.TO	Bank Of Montreal B Pref Sh Ser 25
BNA.PR.B.TO	Bam Split Corp. Cl A Ser 1
BNA.PR.C.TO	Bam Split Corp Cl Aa Prf Shrs Ser 3
BNA.PR.D.TO	Bam Split Corp Cl Aa Pref Shares Ser 4
BNA.PR.E.TO	Bam Split Corp Class Aa Ser 5
BNC.TO	Bioniche Life J
BND.UN.TO	Investment Grade Trust
BNE.TO	Bonterra Energy Corp
BNG.TO	Bengal Energy Ltd.
BNK.TO	Bankers Petroleum Ltd.
BNP.TO	Bonavista Energy Corporation
BNS.TO	Bank Of Nova Scotia
BNS.PR.J.TO	Bk Of N S Ser 12 P
BNS.PR.K.TO	Bns Preferred Ser. 13
BNS.PR.L.TO	Bns Non-Cum Prf Shrs Ser 14
BNS.PR.M.TO	Bank Of Nova Scotia Non-Cum. Pref Srs 15
BNS.PR.N.TO	Bns Pref Shares Series 16
BNS.PR.O.TO	Bns Pref Shares Series 17
BNS.PR.P.TO	Bank Of Nova Scotia Non-Cum Pref Srs 18
BNS.PR.Q.TO	Bns Pref Sharesseries 20
BNS.PR.R.TO	Bns Non Cum Pref Series 22
BNS.PR.T.TO	Bns Pref. Shares Series 26
BNS.PR.X.TO	Bns Pref Series 28
BNS.PR.Y.TO	Bank Of Nova Scotia 5 Yr Pref Ser 30
BNS.PR.Z.TO	Bns Preferred Series 32
BOS.TO	Airboss America J
BOX.UN.TO	Brookfield Office Properties Cda
BOY.TO	Boyuan Construction Group Inc.
BOY.DB.A.TO	Boyuan Constr Grp Inc 10 Pct Dbs A
BPF.UN.TO	Boston Pizza Royalties Income Fund
BPO.TO	Brookfield Office Properties Inc
BPO.PR.F.TO	Brookfield Office Properties Pref Ser F
BPO.PR.H.TO	Brookfield Office Properties Pref Ser H
BPO.PR.J.TO	Brookfield Office Properties Pref Ser J
BPO.PR.K.TO	Brookfield Office Properties Pref Ser K
BPO.PR.L.TO	Brookfield Office Properties Pref Ser L
BPO.PR.N.TO	Brookfield Office Properties Pref Ser N
BPO.PR.P.TO	Brookfield Office Properties Pref Ser P
BPO.PR.R.TO	Brookfield Office Properties Pref Ser R
BPO.PR.U.TO	Brookfield Office Properties Pref Ser G
BPP.PR.G.TO	Bpo Properties Ltd Preferred Series G
BPP.PR.J.TO	Bpo Properties Ltd Preferred Series J
BPP.PR.M.TO	Bpo Properties Ltd Preferred Series M
BPV.TO	Bridgeport Ventures Inc
BPV.WT.TO	Bridgeport Ventures Inc Wts
BQE.TO	Bioteq Environmental Technologiesinc.
BR.TO	Big Rock Brewery Inc.
BRB.TO	Brick Brewing J
BRD.TO	Brigus Gold Corp
BRD.DB.U.TO	Brigus Gold Corp 6.5 Pct Debs USD
BRD.WT.TO	Brigus Gold Corp Warrants
BRD.WT.A.TO	Brigus Gold Corp Wts Series A
BRE.TO	Brookfield Real Estate Services Inc.
BRF.PR.A.TO	Brookfield Renewablepref Cl A Ser 1
BRK.TO	The Brick Ltd.
BRK.DB.TO	Brick Group 12% Deb
BRK.WT.TO	The Brick Ltd. Wts
BRP.TO	Brookfield Residential Properties Inc
BRY.TO	Bri Chem Corp
BSC.TO	Bns Split Corp.Ii
BSC.PR.B.TO	Bns Split Corp Ii Pref B Series 1
BSD.PR.A.TO	Brookfield Soundvest Split Trust Pref
BSD.UN.TO	Brookfield Soundvest Split Trust
BSE.UN.TO	Brookfield Soundvest Equity Fund
BSX.TO	Belo Sun Mining Corp.
BT.TO	Bonnetts Energy Corp
BTE.TO	Baytex Energy Corp.
BTO.TO	B2Gold Corp.
BU.TO	Burcon Nutrascience Corporation
BUC.TO	Bucking Horse Energy Inc
BUI.TO	Buhler Ind
BX.TO	Biox Corporation
BXE.TO	Bellatrix Exploration Ltd
BXE.DB.A.TO	Bellatrix Expl Ltd 4.75 Pct Conv Debs
BXI.TO	Bioexx Specialty Proteins Ltd.
BYD.UN.TO	Boyd Group Income Fund
BZA.TO	American Bonanza Gold Corp.
CAB.TO	Claymore Adv Canadian Bond ETF
CAB.A.TO	Claymore Adv Cdn Bond ETF Advisor
CAE.TO	Cae Inc
CAG.UN.TO	Coxe Global Agribusiness Income Fund
CAH.UN.TO	Canadian High Yield Focus Fund
CAI.DB.TO	Canadian Income Management Inc. 7% Debs
CAL.TO	Caledonia Mng
CAM.TO	Canam Group Inc.
CAM.DB.TO	Canam Group Inc 6.25 Pct Convertible Dbs
CAR.UN.TO	Cdn Apartment Un
CAS.TO	Cascades Inc
CAX.TO	Candax Energy Inc.
CAZ.TO	Caza Oil
CBB.UN.TO	Copernican British Banks Fund
CBD.TO	Claymore Balanced Income Core ETF
CBD.A.TO	Claymore Balanced Income Core ETF Adv
CBH.TO	Claymore 1-10 Yr Laddered Corp Bond ETF
CBH.A.TO	Claymore 1-10 Yr Ladder Corp Bond ETF A
CBN.TO	Claymore Balanced Growth Core ETF
CBN.A.TO	Claymore Balanced Growth Core ETF Adv
CBO.TO	Claymore 1-5Yr Laddered Corp. Bond ETF
CBO.A.TO	Claymore 1-5Yr Ladder Corp. Bd ETF Cl A
CBQ.TO	Claymore Bric ETF
CBQ.A.TO	Claymore Bric ETF
CBR.TO	Claymore Broad Commodity ETF
CBR.A.TO	Claymore Broad Commodity ETF Adv Cl
CBU.TO	First Asset Canbanc Cl. A
CBU.PR.A.TO	First Asset Canbanc Prf A
CBW.TO	Copernican World Banks Split Inc. Cl.A
CBW.PR.A.TO	Copernican World Banks Split Inc. Prf A
CBY.TO	Canada Bread
CCA.TO	Cogeco Cable Inc. Sv
CCI.UN.TO	Canadian Convertibles Plus Fund
CCL.A.TO	Ccl Industries Inc 'A'Com Npv
CCL.B.TO	Ccl Industries Inc. Cl. B Nv
CCM.TO	Canarc Res J
CCO.TO	Cameco Corp
CCP.UN.TO	Connor Clark Lunn Conserv Incm Grwth Fd
CCS.PR.C.TO	Co-Operators Gen Ins Cl E Prf
CCS.PR.D.TO	Co-Operators Gen Ins Cl E Prf Series D
CCZ.TO	Criticalcontrol Solutions Corp.
CDD.UN.TO	Core Canadian Dividend Trust
CDG.TO	Candente Gold Corp
CDH.TO	Corridor Resources Inc.
CDI.TO	Canelson Drilling Inc
CDL.A.TO	Corby Distill
CDL.B.TO	Corby Distilleries Ltd. Cl B. Nv
CDM.TO	Coeur D Alene Mines Corp.
CDS.DB.TO	Barrick Energy Inc. 4.75% Debs
CDU.TO	Cardero Resource Corp.
CDV.TO	Com Dev Intl
CDW.UN.TO	Canadian Wireless Trust
CDZ.TO	Claymore Sp Tsx Cdn Dividend ETF
CDZ.A.TO	Claymore Sp Tsx Cdn Dividend ETF
CEE.TO	Centamin Egypt Limited
CEF.A.TO	Central Fund Of Canada Ltd. Cl.A Nv
CEF.U.TO	Central Fund Of Canada Ltd. Cl. A Nv
CEG.TO	Cerro Grande Mining Corporation
CEK.TO	Caspian Energy Inc.
CEN.TO	Coastal Energy Company
CET.TO	Cathedral Energy Services Ltd.
CEU.TO	Canadian Energy Svcs And Tech Corp
CEW.TO	Claymore Equal Weight Banc & Lifco ETF
CEW.A.TO	Claymore Equal Weight Banc & Lifeco Trs
CEZ.TO	Calmena Energy Services Inc.
CF.TO	Canaccord Financial Inc.
CF.PR.A.TO	Canaccord Financial Inc. Pref A
CF.PR.C.TO	Canaccord Financial Inc Pr Sh Series C
CFB.TO	Chieftain Metals Inc  Com
CFG.TO	Cluff Gold Plc
CFN.TO	Carfinco Financial Group Inc
CFP.TO	Canfor Corp
CFT.TO	Ce Franklin Ltd Com Npv
CFW.TO	Calfrac Well Services Ltd.
CFX.TO	Canfor Pulp Products Inc.
CG.TO	Centerra Gold Inc.
CGA.TO	Cga Mining Limited
CGG.TO	China Gold Int Resources Corp.
CGI.TO	Cdn General Inv
CGI.PR.B.TO	Canadian General Inv Ltd Series 2
CGI.PR.C.TO	Canadian General Inv. Ltd 3.9% Pr Ser3
CGJ.TO	Carlisle Goldfields Limited
CGL.TO	Claymore Gold Bullion ETF
CGL.C.TO	Claymore Gold Bullion ETF Non-Hedged
CGO.TO	Cogeco Inc. Sv
CGQ.TO	Capital Gains Yld
CGQ.E.TO	Capital Gains Eq
CGR.TO	Claymore Global Real Estate ETF
CGR.A.TO	Claymore Global Real Estate ETF Cl A
CGX.TO	Cineplex Inc.
CGX.DB.TO	Cineplex Inc. 6.0 Pct Debs
CHB.TO	Claymore Advantaged Hy Bond ETF
CHB.A.TO	Claymore Advantaged Hy Bond ETF Adv Cl
CHE.DB.TO	Chemtrade Logistics Income Fund 6.0 Debs
CHE.DB.A.TO	Chemtrade Logistics If 5.75 Pct Debs
CHE.UN.TO	Chemtrade Logistics Income Fund
CHH.TO	Centric Health Corporation
CHI.TO	Claymore China ETF
CHI.A.TO	Claymore China ETF Advisor Class
CHL.A.TO	Canadian Helicopters Group Inc. A
CHL.B.TO	Canadian Helicopters Group Inc. B
CHM.TO	Champion Minerals Inc
CHR.A.TO	Chorus Aviation Inc Cl A
CHR.B.TO	Chorus Aviation Inc Cl B
CHR.DB.TO	Chorus Aviation Inc Debs
CHW.TO	Chesswood Group Limited
CIB.TO	Claymore Inverse 10 Yr Govt Bond ETF
CIC.TO	Canbanc Income Corp
CIE.TO	Ishares Intl Fundamental Index Fund
CIE.A.TO	Ishares Intl Fundamental Index Fund Ac
CIF.TO	Claymore Global Infrastructure ETF
CIF.A.TO	Claymore Global Adv Cl
CIP.UN.TO	Ci Master Limited Partnership
CIQ.UN.TO	Canadian High Income Equity Fund
CIR.TO	Copernican Intl. Fin Split Corp Class A
CIR.PR.A.TO	Copernican Intl. Fin Split Corp Pref Sh
CIU.PR.A.TO	Cu Inc. Preferred Shares
CIU.PR.B.TO	Cu Inc. Cum. Redeem. Pref. Sh. Series 2
CIU.PR.C.TO	Cu Inc Preferred Series 4
CIW.UN.TO	Copernican Wld Fin Trust Units
CIX.TO	Ci Financial Corp.
CJP.TO	Claymore Japan Fund Idx ETF C$ Hedged
CJP.A.TO	Ishares Japan Fund Idx CAD Hedge Ac
CJR.B.TO	Corus Entertainment Inc. Cl.B Nv
CJT.TO	Cargojet Inc.
CJT.A.TO	Cargojet Inc. Variable Voting Shs
CJT.DB.TO	Cargojet Income Fund 7.5% Cnv S
CJT.DB.A.TO	Cargojet Inc 6.5 Pct Debs
CKE.TO	Chinook Energy Inc.
CKI.TO	Clarke Inc
CKI.DB.TO	Clarke Inc. 6% Conv. Unsec. Debs
CKI.DB.A.TO	Clarke Inc. 6.0% Debs
CLC.TO	Cml Healthcare Inc.
CLF.TO	Claymore 1-5 Yr Ladder Gov T Bond ETF
CLF.A.TO	Claymore 1-5 Yr Ladder Gov T Bond ETF A
CLG.TO	Claymore 1-10 Yr Ladder Govt Bond ETF
CLG.A.TO	Claymore 1-10 Yr Ladder Govt Bond ETF A
CLK.TO	Clublink Enterprises Limited
