AUA.V	Adanac Molybdenum Corporation
AUC.V	Golden China Res Corp
AUD.V	Audiotech Healthcare Corp. [Tie
AUG.V	Augen Capital Corp
AUN.V	Aurcana Corporation
AUN.WT.V	Aurcana Corporation Wts
AUT.V	Automated Benefits Corp
AUU.V	Aura Silver Resources Inc.
AUV.V	Augyva Inc. [Ressources Minieres]
AUX.V	Auramex Resource Corp
AVA.V	Aurvista Gold Corporation
AVC.V	American Vanadium Corp.
AVG.V	Avatar Energy Ltd
AVS.H.V	Ava Resources Corp
AVT.V	Avanti Mining Inc.
AVU.V	Avrupa Minerals Ltd.
AVW.H.V	Avc Venture Capital Corp
AVX.V	Altair Ventures Incorporated
AVZ.V	Avala Resources Ltd
AWA.V	Arrowhead Water Products Ltd
AWE.P.V	Thunderstruck Resources Ltd
AWH.V	Arrowhead Gold Corp
AWI.V	Advent Wireless Inc
AWS.V	Arrowstar Resources Ltd
AXD.V	Alexander Mining Plc
AXE.V	Acceleware Corp
AXI.V	Advanced Explorations Inc.
AXM.V	Axmin Inc.
AYA.V	Amaya Gaming Group Inc.
AYA.DB.V	Amaya Gaming Group Inc 10.5 Pct Debs
AZA.V	Azabache Energy Inc.
AZG.V	Azteca Gold Corp.
AZM.V	Azimut Exploration Inc.
AZN.V	Arcturus Ventures Inc.
AZU.V	Azure Resources Corporation
AZX.V	Alexandria Minerals Corporation
B.V	Bcm Resources Corporation
BAR.V	Balmoral Resources Ltd
BAT.V	Batero Gold Corp.
BBB.V	Brixton Metals Corp
BBB.WT.V	Brixton Metals Corporaton Wts
BBI.V	Blackbird Energy Inc
BBM.V	Brandenburg Energy Corp
BBS.V	Black Bull Resources Inc
BCC.P.V	Barranco Resources Corp
BCG.V	Bcgold Corp.
BCK.V	Blind Creek Resources Ltd
BCM.V	Bear Creek Mining Corp.
BCN.V	Bacanora Minerals Ltd
BCU.V	Bell Copper Corporation
BEA.V	Belmont Resources Inc
BEL.V	Belvedere Resources Ltd
BEN.V	Butte Energy Inc
BER.V	Be Resources Inc.
BEY.V	Blacksteel Energy Inc.
BFC.V	Baikal Forest Corp
BFD.V	Beaufield Resources Inc.
BFS.V	Bfs Entertainment Multimedia Ltd.
BG.V	Barisan Gold Corporation
BGC.V	Brazilian Gold Corporation
BGE.V	Bison Gold Resources Inc.
BGF.P.V	Big Five Capital Corp
BGL.V	Bandera Gold Ltd.
BGM.V	Barkerville Gold Mines Ltd.
BGS.V	Baroyeca Gold And Silver Inc
BGX.V	Blue Gold Mining Inc
BHV.V	Bellhaven Copper & Gold Inc.
BIT.V	Black Isle Resources Corp
BKM.V	Pacific Booker Minerals Inc.
BKR.V	Berkwood Resources Ltd
BKT.V	Brookemont Capital Inc.
BLC.P.V	Black Sparrow Capital Corp
BLF.V	Capital Blf Inc.
BLG.V	Bear Lake Gold Ltd.
BLK.V	Birch Lake Energy Inc
BLN.V	Blackline Gps Corp
BLP.V	Bluepoint Data Inc.
BLR.V	Blackhawk Resource Corp
BLT.V	Brilliant Mining Corp.
BLV.V	Blackstone Ventures Inc
BMA.V	Bama Gold Corp
BMC.V	Buchans Minerals Corporation
BMK.V	Macdonald Mines Expl Ltd.
BML.V	Barker Minerals Ltd
BMN.A.V	Beaumont Select Corporation
BMW.V	Brand Marvel Worldwide Consumer Products
BNB.V	Bam Investments Corp.
BNR.V	Brionor Resources Inc.
BNT.V	Blue Note Mining Inc.
BNX.A.V	Bnp Resources Inc Cl A
BOB.V	Global Hunter Corp.
BOE.V	Americas Petrogas Inc.
BOL.V	Bold Ventures Inc.
BON.V	Bonaparte Cap Corp
BOR.V	Border Petroleum Corp
BOT.V	Botaneco Corp
BOV.H.V	Bi-Optic Ventures Inc.
BOW.V	Bowmore Exploration Ltd
BOZ.V	Banks Island Gold Ltd
BP.H.V	Bella Resources Inc
BPC.V	Black Panther Mining Corp.
BPL.V	Bluedrop Performance Learning Inc
BPM.V	Bralorne Gold Mines Ltd.
BPU.V	Boss Power Corp.
BRG.V	Brigadier Gold Ltd
BRI.V	Brazil Resources Inc
BRL.V	Bearclaw Capital Corp
BRM.V	Biorem Inc.
BRN.PR.A.V	Brookfield Investments Corp. Preferred A
BRR.V	Britannica Res Corp
BRS.V	Bonanza Resources Corp
BRU.V	Bolero Resources Corp
BRV.H.V	Brs Ventures Ltd
BRX.V	Brixton Energy Corp
BRZ.V	Bearing Resources Ltd
BSG.P.V	Black Springs Capital Corp
BSH.V	Bayshore Petroleum Corp.
BSK.V	Blue Sky Uranium Corp.
BSP.V	Big Sky Petroleum Corp
BSR.V	Bluestone Resources Inc
BSV.P.V	Bold Stroke Ventures Inc
BTB.DB.B.V	Btb Reit 8.5% Debs Series B
BTB.DB.C.V	Btb Real Estate Investment Trust 5.5% Dbsr C 31
BTB.DB.D.V	Btb Reit 7.25 Pct Debs
BTB.UN.V	Btb Real Estate Investment Trust Units
BTC.V	Benton Resources Corp.
BTI.V	Bioasis Technologies Inc.
BTR.V	Bonterra Resources Inc.
BTT.V	Bitterroot Resources Ltd
BTV.V	Bluerush Media Group Corp
BUD.V	Satori Resources Inc
BVA.V	Bravada Gold Corporation
BVC.P.V	Biovest Corp I
BVE.V	Burnstone Ventures Inc
BVO.V	Bevo Agro Inc.
BVQ.V	Bravura Ventures Corp
BW.V	Brookwater Ventures Inc
BWD.V	Bowood Energy Inc.
BWN.V	Brownstone Energy Inc
BXR.V	Blue River Resources Ltd
BXV.V	Beatrix Ventures Inc
BXX.V	Boxxer Gold Corp.
BYN.P.V	Banyan Coast Capital Corp
BYU.V	Bayswater Uranium Corporation
BYV.V	Bayfield Ventures Corp.
BZZ.V	Buzz Telecommunications Services Inc.
C.V	Celeste Copper Corporation
CA.V	Caerus Resource Corporation
CAA.V	Callinan Royalties Corp
CAD.V	Colonial Coal International Corp.
CAF.V	Canaf Group Inc
CAJ.V	Canasia Industries Corporation
CAN.V	Canaco Res Inc.
CAP.V	Castle Peak Mining Ltd
CAT.V	Chimata Gold Corp
CAV.P.V	Chelsea Acquisition Corporation
CAY.V	Cache Exploration Inc.
CBA.V	Champion Bear Res Ltd
CBC.V	Central Resources Corp.
CBE.V	Cabo Drilling Corp.
CBI.V	Colibri Resource Corp.
CBJ.V	Cb Gold Inc
CBS.V	Bard Ventures Ltd.
CBV.V	Cobra Venture Corporation
CBX.V	Cortex Business Solutions Inc.
CC.V	Cascade Resources Ltd.
CCE.V	Commerce Resources Corp.
CCF.V	Cobalt Coal Ltd
CCH.V	C2C Industrial Properties Inc
CCK.V	Canada Coal Inc
CCN.V	Concordia Resource Corp
CCR.V	Cascadia Reso
CCV.V	Counterpath Corporation
CCW.V	Cct Capital Ltd.
CCY.V	Catalyst Copper Corp
CD.V	Cantex Mine Development Corp
CDA.V	Canuc Resources Corporation [Ti
CDB.V	Cordoba Minerals Corp
CDC.V	Cadillac Ventures Inc
CDE.V	Challenger Deep Resources Corp
CDK.H.V	Cadomin Capital Corporation
CDO.V	Candorado Operating Company
CDQ.V	Challenger Development Corp.
CDR.V	Caldera Resources Inc.
CDT.P.V	Credent Capital Corp
CDX.V	Cassidy Gold Corp
CE.V	Canada Energy Partners Inc.
CEC.V	Compliance Energy Corp
CEI.V	Carmen Energy Inc
CEL.V	Columbus Energy Limited
CEM.V	Constantine Metal Resources Ltd.
CEV.V	Cap Ex Ventures Ltd
CEX.V	Contact Exploration Inc.
CEY.V	Century Energy Ltd
CFA.H.V	Clearframe Solutions Corp
CFF.V	Conifex Timber Inc
CFI.V	Canada Fluorspar Inc.
CFL.V	Cerf Incorporated
CFM.V	Confederation Minerals Ltd.
CFO.V	Clifton Star Resources Inc
CFR.V	Chemaphor Inc
CFY.V	Changfeng Energy Inc
CGD.V	Carlin Gold Corp.
CGE.V	Corex Gold Corp
CGH.V	Cabia Goldhills Inc
CGP.V	Cornerstone Capital Resources Inc
CGT.V	Columbus Gold Corporation
CGW.V	Corazon Gold Corp
CH.V	Urban Select Captial Corp
CHN.V	China Education Resources Inc.
CHO.V	China Health Labs And Diagnostics Ltd
CHQ.V	Carrus Capital Corporation
CHU.V	Channel Resources Ltd.
CHX.V	Charger Energy Corp
CHY.V	Cypress Hills Resource Corp.
CI.V	Canada Gold Corporation
CIA.H.V	Colossal Resources Corp
CID.V	Cicada Ventures Ltd.
CIL.V	Canoel International Energy Ltd.
CIN.V	Canadian Intl Minerals Inc
CIO.V	Central Iron Ore Limited
CJC.V	Canada Rare Earths Inc
CJO.V	Cerro Resources Nl
CKB.V	Calico Resources Corp
CKC.V	Cricket Resources Inc.
CKG.V	Chesapeake Gold Corp.
CKK.V	Cordy Oilfield Services Inc
CKR.V	Caribou Copper Resources Ltd
CKX.V	Csm Systems Corp
CLB.V	Colombia Crest Gold Corp
CLD.V	Cangold Ltd.
CLH.V	Coral Gold Resources Ltd.
CLI.V	Clearford Industries Inc.
CLP.V	Calypso Uranium Corp.
CLV.P.V	C Level III Inc
CLZ.V	Canasil Resources Inc.
CMA.V	Cream Minerals Ltd.
CMB.V	Cmc Metals Ltd.
CMD.V	Commander Resources Ltd
CMI.V	C-Com Satellite Systems Inc.
CMJ.V	Colombian Mines Corporation
CMO.V	Cliffmont Resources Ltd.
CMU.V	Comet Industries Ltd.
CMV.V	China Minerals Mining Corp
CN.V	Condor Resources Inc.
CNA.V	Canasia Financial Inc
CNC.V	Canyon Copper Corp
CNG.V	Canadian Mining Company Inc
CNI.V	Continental Nickel Limited
CNK.V	Canrock Energy Corp
CNO.V	California Nanotechnologies Cor
CNP.V	Cannon Point Resources Ltd
CNW.V	China Wind Power International Corp.
CNX.V	Callinex Mines Inc
CNY.V	Cancana Resources Corp
CO.V	Canadian Orebodies Inc.
COE.V	Canam Coal Corp.
COG.V	Cumberland Oil And Gas Ltd.
COI.V	Cancen Oil Canada Inc
COL.V	Copper North Mining Corp
COQ.V	Ced-Or Cp
COR.V	Camino Minerals Corporation
COT.V	Critical Outcome Technologies Inc.
COU.V	Cougar Minerals Corp
COV.V	Covalon Tech Ltd.
CPC.V	Canadian Platinum Corp
